model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.4363319360848629,89.28282828282829,8839,9900,2.2935511614605018
36,71,0.7164135010073883,84.22222222222221,8338,9900,2.2512527792837727
58,71,0.4255539349353675,89.82828282828282,8893,9900,2.176116862686179
71,71,0.5973152845556086,85.86868686868686,8501,9900,2.3036747145705614
global,71,9.941983809037643,0.6060606060606061,60,9900
13,72,0.18519615866921166,95.04040404040404,9409,9900,2.163220513766551
36,72,0.42097807932381676,89.47474747474747,8858,9900,2.2068363610025923
58,72,0.1859901686810484,95.28282828282828,9433,9900,2.2159545911550254
71,72,0.17386301611409044,95.17171717171718,9422,9900,2.3554654097652
global,72,9.584275263006036,0.6464646464646464,64,9900
13,73,0.18957913194039855,94.94949494949495,9400,9900,2.1100649235215085
36,73,0.07237735989795188,97.92929292929293,9695,9900,2.2024247159009605
58,73,0.1903700581945554,94.88888888888889,9394,9900,2.0952694062787476
71,73,0.17188588344087505,95.38383838383838,9443,9900,2.258790012463322
global,73,9.388607177734375,0.6161616161616161,61,9900
13,74,0.592135845362538,86.4949494949495,8563,9900,2.1249848533539346
36,74,0.09898272664897671,97.3030303030303,9633,9900,2.1568317457851145
58,74,0.14926775155645428,96.02020202020202,9506,9900,2.0876182614023513
71,74,0.27947490468169706,92.71717171717172,9179,9900,2.270043740376259
global,74,9.576854291203047,0.47474747474747475,47,9900
13,75,0.12152491209482906,96.82828282828282,9586,9900,2.1187339849626343
36,75,0.12304617441061771,96.85858585858585,9589,9900,2.1460212575849735
58,75,0.17957193473974864,95.33333333333334,9438,9900,2.0844768310562256
71,75,0.1687433174583647,95.58585858585859,9463,9900,2.2979926679210374
global,75,9.574566413031684,0.47474747474747475,47,9900
13,76,0.25977667512315694,93.64646464646465,9271,9900,2.1476986256093036
36,76,0.20589090697693102,94.93939393939394,9399,9900,2.1657899647864802
58,76,0.17308294010282768,95.27272727272728,9432,9900,2.0476205647316146
71,76,0.17087391728704626,95.56565656565657,9461,9900,2.270287602728514
global,76,9.337098974362767,0.8282828282828283,82,9900
13,77,0.19739314972752273,95.26262626262626,9431,9900,2.1080279534963875
36,77,0.16662284985937253,95.81818181818181,9486,9900,2.1516284896493407
58,77,0.13824525100113166,96.48484848484848,9552,9900,2.082847220610066
71,77,0.20085466917115027,94.91919191919192,9397,9900,2.22287699536786
global,77,9.892523717398594,0.47474747474747475,47,9900
13,78,0.2204392469049704,94.4949494949495,9355,9900,2.0984513748857774
36,78,0.2478586800652321,94.07070707070707,9313,9900,2.155669645630738
58,78,0.33103988170623777,91.76767676767676,9085,9900,2.0409735716361412
71,78,0.11637846701976025,96.8080808080808,9584,9900,2.2531369911329775
global,78,9.582855995255287,0.6464646464646464,64,9900
13,79,0.30211956021761655,92.34343434343434,9142,9900,2.0959707979759683
36,79,0.2935938220553928,93.22222222222221,9229,9900,2.1671830686759064
58,79,0.13939996344272537,96.38383838383838,9542,9900,2.039295753204244
71,79,0.3201099863196864,91.66666666666666,9075,9900,2.2282580963230774
global,79,9.666566710809265,0.6868686868686869,68,9900
13,80,0.11107404448618792,97.07070707070707,9610,9900,2.108578001559266
36,80,0.09612683627491045,97.53535353535354,9656,9900,2.183972812022243
58,80,0.35655470188217936,91.65656565656566,9074,9900,2.017007398063168
71,80,0.24090790389764188,93.64646464646465,9271,9900,2.2554986310247327
global,80,10.287947443181817,0.3838383838383838,38,9900
13,81,0.17354365926198284,95.84848484848484,9489,9900,2.1170164369964017
36,81,0.30507021764312126,92.55555555555556,9163,9900,2.165004594018304
58,81,0.14621428124832384,96.25252525252526,9529,9900,2.053645576891753
71,81,0.25023927184066386,93.84848484848484,9291,9900,2.26008507424979
global,81,10.104321578825363,0.30303030303030304,30,9900
13,82,0.14166685717876512,96.2929292929293,9533,9900,2.085275723638822
36,82,0.317316338991878,92.45454545454545,9153,9900,2.1932599120716714
58,82,0.18567855972382757,95.48484848484848,9453,9900,2.0159061442810398
71,82,0.16217925589192997,95.79797979797979,9484,9900,2.224667033452198
global,82,10.36645691226227,0.36363636363636365,36,9900
13,83,0.17528737824974638,95.52525252525253,9457,9900,2.1377703713196006
36,83,0.051255655338366825,98.69696969696969,9771,9900,2.3157915969204637
58,83,0.16148343063063092,95.79797979797979,9484,9900,2.0922391764018644
71,83,0.08781622749348783,97.80808080808082,9683,9900,2.2556952346601924
global,83,10.462320803247318,0.2222222222222222,22,9900
13,84,0.1956524549289183,95.27272727272728,9432,9900,2.142248164791942
36,84,0.13710135927706055,96.47474747474747,9551,9900,2.1973237839525237
58,84,0.3377372690643927,91.22222222222223,9031,9900,2.0680110014838657
71,84,0.22533908473120795,94.14141414141413,9320,9900,2.290668119724658
global,84,10.932142056551847,0.15151515151515152,15,9900
13,85,0.15964440259066495,95.95959595959596,9500,9900,2.189653916556676
36,85,0.06602794145224522,98.28282828282828,9730,9900,2.285862687947247
58,85,0.19335484703381856,95.03030303030303,9408,9900,2.1147217979259803
71,85,0.20956481990790127,94.47474747474747,9353,9900,2.2996741644556504
global,85,10.687127019708807,0.37373737373737376,37,9900
13,86,0.16767837673425676,95.69696969696969,9474,9900,2.1697521126142707
36,86,0.020134463279197615,99.41414141414141,9842,9900,2.282474763862343
58,86,0.13386636139768543,96.58585858585859,9562,9900,2.149999764908179
71,86,0.11658969175333929,96.97979797979798,9601,9900,2.3727611228417698
global,86,10.435133546771425,0.37373737373737376,37,9900
13,87,0.16354587534160325,96.36363636363636,9540,9900,2.2249539102645506
36,87,0.1482263287450328,96.32323232323232,9536,9900,2.2545974174157832
58,87,0.09908947896325226,97.45454545454545,9648,9900,2.0860411657512277
71,87,0.08598678174042942,97.83838383838383,9686,9900,2.2967439990411096
global,87,8.787927304662839,2.383838383838384,236,9900
13,88,0.30945222061089794,92.56565656565657,9164,9900,2.1708440735222396
36,88,0.13458365807027528,96.64646464646465,9568,9900,2.210509565476363
58,88,0.09208260645619547,97.48484848484848,9651,9900,2.2059658483522995
71,88,0.1792839335311543,95.60606060606061,9465,9900,2.294077512554002
global,88,8.681514772357362,2.4545454545454546,243,9900
13,89,0.18343986418512132,95.24242424242424,9429,9900,2.154222834707665
36,89,0.1445181974618122,96.27272727272728,9531,9900,2.2940754339957508
