model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.4426735481108078,89.12121212121212,8823,9900,2.29352766825235
36,71,0.7321123484409217,83.77777777777777,8294,9900,2.2502206058436536
58,71,0.4244706763161553,89.8080808080808,8891,9900,2.177443795425905
71,71,0.6086469525038594,85.69696969696969,8484,9900,2.3044712805751355
global,71,9.073282313491358,1.1818181818181819,117,9900
13,72,0.25247124286613076,93.39393939393939,9246,9900,2.110569255568281
36,72,0.5675966798416292,86.08080808080808,8522,9900,2.165612061917408
58,72,0.21744722350679263,94.71717171717172,9377,9900,2.1673846033478568
71,72,0.2671583213228168,92.66666666666666,9174,9900,2.292070411026678
global,72,8.06129424124053,2.3535353535353534,233,9900
