local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,71,1,0.00701297027990222,88.2906857727738,4313,4885
36,71,71,1,0.006278133485466242,89.27426955702168,4736,5305
58,71,71,1,0.006635905243456364,88.5944456222175,4179,4717
71,71,71,1,0.007432126440107822,88.03789972364785,4460,5066
89,141,71,1,0.006782136857509613,87.90174471992654,3829,4356
89,142,71,2,0.00801107194274664,84.366391184573,3675,4356
99,141,71,1,0.006016036029905081,88.15229563269877,3936,4465
99,142,71,2,0.004297735169529915,92.09406494960807,4112,4465
77,141,71,1,0.0067568873055279255,86.765655261459,4032,4647
77,142,71,2,0.005511274561285973,89.47708198837961,4158,4647
65,141,71,1,0.006141014397144318,87.89317507418397,4443,5055
65,142,71,2,0.005366116762161255,89.39663699307616,4519,5055
67,141,71,1,0.006935257464647293,86.74745895230649,4438,5116
67,142,71,2,0.006485328543931246,87.62705238467554,4483,5116
61,141,71,1,0.0063066547736525536,88.12409112942316,3636,4126
61,142,71,2,0.004627409856766462,91.03247697527873,3756,4126
30,141,71,1,0.005835841875523329,88.88248847926268,3086,3472
30,142,71,2,0.0040677813813090324,92.79953917050692,3222,3472
1,141,71,1,0.005928494036197662,88.90894504612916,4433,4986
1,142,71,2,0.005433344282209873,89.02928198957079,4439,4986
69,141,71,1,0.006168443709611893,88.26314477946673,3542,4013
69,142,71,2,0.004415886476635933,91.85148268128583,3686,4013
81,141,71,1,0.00644605653360486,87.3538328280641,4034,4618
81,142,71,2,0.005797690711915493,88.37158943265483,4081,4618
12,141,71,1,0.006906619295477867,87.29096989966555,4437,5083
12,142,71,2,0.006417090073227882,87.46803069053708,4446,5083
17,141,71,1,0.006545951124280691,87.96275770339172,3968,4511
17,142,71,2,0.005556801334023476,89.33717579250721,4030,4511
52,141,71,1,0.006441756151616573,87.72715301553859,3331,3797
52,142,71,2,0.005474434699863195,89.12299183565973,3384,3797
15,141,71,1,0.005535117816179991,89.5378000716589,4998,5582
15,142,71,2,0.004715464543551207,90.88140451451093,5073,5582
86,141,71,1,0.006644172128289938,87.16814159292035,3152,3616
86,142,71,2,0.005452544428408146,88.63384955752213,3205,3616
40,141,71,1,0.005872726906090975,88.48762603116407,4827,5455
40,142,71,2,0.005446602590382099,89.22089825847847,4867,5455
13,72,72,1,0.006151525769382715,89.4575230296827,4370,4885
36,72,72,1,0.006169449537992477,89.70782280867107,4759,5305
58,72,72,1,0.006672420538961887,88.61564553741785,4180,4717
71,72,72,1,0.007296072784811258,88.25503355704699,4471,5066
78,143,72,1,0.005736056715250015,89.21739130434783,3591,4025
78,144,72,2,0.004107142798602581,91.77639751552795,3694,4025
52,143,72,1,0.0066977133974432945,87.25309454832762,3313,3797
52,144,72,2,0.0056796302087605,89.59705030287068,3402,3797
95,143,72,1,0.007741945795714855,84.95135135135136,3929,4625
95,144,72,2,0.006613266654312611,87.2,4033,4625
7,143,72,1,0.00810899306088686,86.00758759205534,3854,4481
7,144,72,2,0.008203667588531971,86.16380272260656,3861,4481
20,143,72,1,0.0056208400055766106,89.0614136732329,3843,4315
20,144,72,2,0.004190831910818815,91.84241019698726,3963,4315
73,143,72,1,0.006391235161572695,87.57969303423849,3709,4235
73,144,72,2,0.005428799893707037,90.1770956316411,3819,4235
98,143,72,1,0.006295953411608934,88.06165099268549,3371,3828
98,144,72,2,0.004634995944797993,91.19644723092999,3491,3828
74,143,72,1,0.006779966875910759,86.32246376811594,3812,4416
74,144,72,2,0.005259465426206589,89.78713768115942,3965,4416
76,143,72,1,0.006771585438400507,86.61352391423858,3151,3638
76,144,72,2,0.00491116801276803,90.29686641011546,3285,3638
9,143,72,1,0.007136846426874399,86.32478632478633,4545,5265
9,144,72,2,0.006990475580096245,85.8309591642925,4519,5265
79,143,72,1,0.006507356185466051,88.52155514414176,3347,3781
79,144,72,2,0.0069868662394583225,87.33139381116108,3302,3781
48,143,72,1,0.005613947752863169,89.28169331231705,3965,4441
48,144,72,2,0.005109217017889023,90.09232154920063,4001,4441
33,143,72,1,0.005616115406155586,89.23979246559892,3956,4433
33,144,72,2,0.004858179017901421,90.59327769005189,4016,4433
12,143,72,1,0.006913788616657257,86.50403305134763,4397,5083
12,144,72,2,0.006392338313162327,87.34999016328939,4440,5083
16,143,72,1,0.00660389568656683,87.17532467532467,4296,4928
16,144,72,2,0.005338362418115139,89.36688311688312,4404,4928
84,143,72,1,0.006819687783718109,86.35510118923429,4139,4793
84,144,72,2,0.005031678359955549,90.52785311913206,4339,4793
13,73,73,1,0.005936432164162397,90.23541453428864,4408,4885
36,73,73,1,0.006030199583619833,89.36852026390197,4741,5305
58,73,73,1,0.006232380401343107,89.06084375662498,4201,4717
71,73,73,1,0.007167851086705923,88.45242795104619,4481,5066
86,145,73,1,0.006776756606996059,86.50442477876106,3128,3616
86,146,73,2,0.004773674067109823,90.45907079646017,3271,3616
39,145,73,1,0.006187818478792906,88.32421162366431,3389,3837
39,146,73,2,0.004718013573437929,90.64373208235601,3478,3837
96,145,73,1,0.005785149987787008,88.71553750801453,4151,4679
96,146,73,2,0.00480237603187561,91.10921136995086,4263,4679
76,145,73,1,0.007172129116952419,85.51401869158879,3111,3638
76,146,73,2,0.005041996482759714,90.13194062671798,3279,3638
59,145,73,1,0.0056122359819710255,89.32278793870489,3614,4046
59,146,73,2,0.004983309656381607,90.2867029164607,3653,4046
34,145,73,1,0.00604049488902092,88.04780876494024,3978,4518
34,146,73,2,0.004629196599125862,90.68171757414785,4097,4518
52,145,73,1,0.006062066648155451,88.6752699499605,3367,3797
