model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.424330074088742,89.65656565656566,8876,9900,2.294007879827347
36,71,0.7391663397201383,83.70707070707071,8287,9900,2.2503099228079106
58,71,0.4381122222091212,89.55555555555556,8866,9900,2.177701640203804
71,71,0.6016351770150541,85.95959595959596,8510,9900,2.3050846081015317
global,71,9.064681584521978,1.2222222222222223,121,9900
13,72,0.2747097088110567,92.86868686868686,9194,9900,2.111775367646772
36,72,0.560217149329908,86.29292929292929,8543,9900,2.1634858943513757
58,72,0.2266401125927164,94.57575757575758,9363,9900,2.1654012236913993
71,72,0.28581225888897677,92.16161616161617,9124,9900,2.2909644235806685
global,72,8.081718022510259,2.323232323232323,230,9900
