model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.42537041235451745,89.4949494949495,8860,9900,2.2949762086320757
36,71,0.7362232068572382,83.74747474747475,8291,9900,2.2503319601375815
58,71,0.42986884059328023,89.66666666666666,8877,9900,2.177332107956295
71,71,0.601235338654181,85.91919191919192,8506,9900,2.304403306928426
global,71,10.107485820115215,0.33333333333333337,33,9900
13,72,0.2002544078140548,95.0,9405,9900,2.2105096733332017
36,72,0.35309317052966416,91.37373737373737,9046,9900,2.231994641424057
58,72,0.31609253418566,92.1919191919192,9127,9900,2.1441352075531626
71,72,0.32202304671509097,91.98989898989899,9107,9900,2.2921289729035914
global,72,9.912063327365452,0.30303030303030304,30,9900
13,73,0.23937590817008356,94.25252525252526,9331,9900,2.1205385159352086
36,73,0.1339527904565888,96.69696969696969,9573,9900,2.1988216061884294
58,73,0.267887280155914,93.27272727272728,9234,9900,2.1460632522021323
71,73,0.3614964074317855,91.31313131313131,9040,9900,2.2222338980791867
global,73,9.80155993220782,0.3434343434343434,34,9900
13,74,0.1126843704719736,97.12121212121212,9615,9900,2.156694228258067
36,74,0.08974209409771544,97.66666666666667,9669,9900,2.2234751930714456
58,74,0.3712453202045325,91.01010101010101,9010,9900,2.0892152786026337
71,74,0.09423528482516606,97.48484848484848,9651,9900,2.265385897943563
global,74,10.208242825594816,0.29292929292929293,29,9900
13,75,0.3329511397294324,91.39393939393939,9048,9900,2.1162425955537527
36,75,0.2063213776578807,94.52525252525253,9358,9900,2.175623341827944
58,75,0.06018546289566792,98.31313131313131,9733,9900,2.0494675852065822
71,75,0.16601291870830034,95.65656565656566,9470,9900,2.2530900082139476
global,75,10.136157587224787,0.24242424242424243,24,9900
13,76,0.23074327572427614,94.32323232323232,9338,9900,2.1465547947530808
36,76,0.23568093732149914,94.0909090909091,9315,9900,2.212615006900705
58,76,0.15801761218393692,95.84848484848484,9489,9900,2.0372966267006913
71,76,0.20810660837876677,94.46464646464646,9352,9900,2.2342180316981786
global,76,9.837671342329546,0.40404040404040403,40,9900
13,77,0.2991895483720182,92.77777777777779,9185,9900,2.159170743388022
36,77,0.1085001010425163,97.12121212121212,9615,9900,2.205945205167042
58,77,0.040901992943024996,98.88888888888889,9790,9900,2.0780460658176363
71,77,0.10395138223514412,97.11111111111111,9614,9900,2.2450284073355626
global,77,9.675446318038786,0.5555555555555556,55,9900
13,78,0.1855849498690981,95.21212121212122,9426,9900,2.124204486716262
36,78,0.14916673942647798,96.17171717171718,9521,9900,2.2006800727485976
58,78,0.2319694706647083,94.04040404040404,9310,9900,2.0204384276994216
71,78,0.19564713570806716,94.88888888888889,9394,9900,2.222368754747978
global,78,9.678116871226917,0.5757575757575757,57,9900
13,79,0.25373482884782733,93.52525252525253,9259,9900,2.0970189779911808
36,79,0.12292660417881879,96.73737373737373,9577,9900,2.2364355869377244
58,79,0.1482488429787183,95.87878787878788,9492,9900,2.083635066752368
71,79,0.06000821014094834,98.36363636363636,9738,9900,2.287243637978398
global,79,9.650808990170257,0.6565656565656566,65,9900
13,80,0.31826116123584786,92.3030303030303,9138,9900,2.129890984087087
36,80,0.06705095716498115,98.37373737373737,9739,9900,2.2378244516420827
58,80,0.35232607244241115,90.86868686868686,8996,9900,2.0275952839128077
71,80,0.1986813879133475,94.91919191919192,9397,9900,2.2228313035195115
global,80,9.882667341135969,0.5353535353535354,53,9900
13,81,0.16195935016930704,95.74747474747475,9479,9900,2.140995188537066
36,81,0.12844629351839876,96.65656565656565,9569,9900,2.2408618796466606
58,81,0.0772829561040859,97.68686868686869,9671,9900,2.112211115118544
71,81,0.17886905935075548,95.27272727272728,9432,9900,2.177015629009171
global,81,9.819461706912879,0.5555555555555556,55,9900
13,82,0.1126982716644051,97.18181818181819,9621,9900,2.0919278314881087
36,82,0.16395298827477175,96.1010101010101,9514,9900,2.2030780327301938
58,82,0.13610183829912031,96.44444444444444,9548,9900,2.0807833769941304
71,82,0.14878167380889257,96.05050505050505,9509,9900,2.3027026924108616
global,82,10.015097591515744,0.48484848484848486,48,9900
13,83,0.18905440356093223,95.43434343434343,9448,9900,2.099836016110702
36,83,0.13200768223916642,96.48484848484848,9552,9900,2.213110836213193
58,83,0.38952530648973255,90.22222222222223,8932,9900,2.0540259859248353
71,83,0.17804429446808015,95.43434343434343,9448,9900,2.269229731006211
global,83,10.300653683440855,0.3838383838383838,38,9900
13,84,0.30719263936534075,92.5959595959596,9167,9900,2.080423217229337
36,84,0.3300659863635747,92.44444444444444,9152,9900,2.2202065213686937
58,84,0.12532788376013437,96.64646464646465,9568,9900,2.033782905635968
71,84,0.17354587971562088,95.36363636363636,9441,9900,2.2882790119737155
global,84,10.206200062144886,0.4444444444444444,44,9900
13,85,0.22024226274755265,94.75757575757576,9381,9900,2.0418015130594083
36,85,0.2850514460573293,93.1919191919192,9226,9900,2.203865738381097
58,85,0.20992108561775902,94.35353535353535,9341,9900,2.09541823698531
71,85,0.14955042087068462,95.97979797979798,9502,9900,2.2713095022835557
global,85,9.723837927616003,1.0303030303030303,102,9900
13,86,0.42882611737106785,89.57575757575758,8868,9900,2.109469828416783
36,86,0.2892589128499079,92.93939393939394,9201,9900,2.2252224285944924
58,86,0.1970538491191286,95.12121212121212,9417,9900,2.049650916174222
71,86,0.16924962498322882,95.64646464646465,9469,9900,2.2363731146538983
global,86,9.781573446254537,0.8080808080808081,80,9900
13,87,0.24636446461533054,94.07070707070707,9313,9900,2.067374163191933
36,87,0.27175165336541457,93.63636363636364,9270,9900,2.236329510950717
58,87,0.18920724219445026,94.98989898989899,9404,9900,2.0751652111787444
71,87,0.1445372200674481,96.18181818181817,9522,9900,2.2091228465316535
global,87,9.578478183939,1.1818181818181819,117,9900
13,88,0.19726193034287656,95.01010101010101,9406,9900,2.1221723255507543
36,88,0.17684451576435203,95.48484848484848,9453,9900,2.2933800505529853
58,88,0.1141610693683227,97.04040404040404,9607,9900,2.077917102940908
71,88,0.16309286569706116,95.95959595959596,9500,9900,2.16998296423347
global,88,9.54727795841718,1.0,99,9900
13,89,0.24274750088200425,94.21212121212122,9327,9900,2.0721254867642425
36,89,0.2655254057441095,93.54545454545455,9261,9900,2.192786232719082
58,89,0.1419674598704083,96.34343434343434,9538,9900,2.0381726190314406
71,89,0.2332140279659117,94.3030303030303,9336,9900,2.1631301358703996
global,89,9.625598708644057,1.0505050505050506,104,9900
13,90,0.21410826672207225,94.82828282828282,9388,9900,2.091408174305124
36,90,0.1395830849324814,96.22222222222221,9526,9900,2.226575777783875
58,90,0.1307193534482609,96.5050505050505,9554,9900,2.026919987661836
71,90,0.27069366074571705,92.84848484848484,9192,9900,2.1923393126252444
global,90,9.553126011087437,0.9696969696969697,96,9900
13,91,0.31203441807717985,92.12121212121212,9120,9900,2.095861480503658
36,91,0.16026738810719865,95.79797979797979,9484,9900,2.202607655486739
58,91,0.13710401393548408,96.56565656565657,9560,9900,2.035111263898196
71,91,0.2499289477353144,93.63636363636364,9270,9900,2.257236499637424
global,91,9.729510405569366,0.9494949494949495,94,9900
13,92,0.1923126522459165,94.9090909090909,9396,9900,2.098151292406054
36,92,0.18232350619152338,95.71717171717171,9476,9900,2.1725086413037134
58,92,0.168687280922225,95.45454545454545,9450,9900,2.009895402075122
71,92,0.3580186542597684,91.39393939393939,9048,9900,2.1911295615836486
global,92,9.894886446866122,0.7373737373737373,73,9900
13,93,0.17408238055730108,95.36363636363636,9441,9900,2.0927146515308612
36,93,0.15661996767376407,96.28282828282828,9532,9900,2.169762990990664
58,93,0.3931410596828268,90.51515151515152,8961,9900,2.067266562774366
71,93,0.24501281042291662,93.48484848484848,9255,9900,2.265960142406277
global,93,9.975798740579624,0.8282828282828283,82,9900
13,94,0.18544092588653469,95.63636363636364,9468,9900,2.0791945609118074
36,94,0.20804552940407184,94.4949494949495,9355,9900,2.2292115631811193
58,94,0.19915124623462407,94.70707070707071,9376,9900,2.0219306195257496
71,94,0.20340260470455343,95.05050505050505,9410,9900,2.1932439323610082
global,94,10.105106854679608,0.6565656565656566,65,9900
13,95,0.31630209123245395,92.13131313131314,9121,9900,2.093242754626745
36,95,0.11346921464108457,97.0,9603,9900,2.195223769162952
58,95,0.19887884322440985,94.76767676767676,9382,9900,2.0513818642437096
71,95,0.2155075113189341,94.32323232323232,9338,9900,2.254442491655343
global,95,10.197552804657906,0.7474747474747475,74,9900
13,96,0.2740818490404071,93.0,9207,9900,2.116212064129257
36,96,0.2013675164694738,95.32323232323232,9437,9900,2.165127708950036
58,96,0.22049887292312853,94.14141414141413,9320,9900,2.004377818996254
71,96,0.20741007347299595,94.48484848484848,9354,9900,2.2464322307798588
global,96,10.837456732855903,0.43434343434343436,43,9900
13,97,0.14843065017702603,96.24242424242424,9528,9900,2.0878829741806153
36,97,0.3705470603403419,91.02020202020202,9011,9900,2.1637538868887383
58,97,0.3077255034868163,92.81818181818183,9189,9900,2.078179494960709
71,97,0.13939157142783656,96.36363636363636,9540,9900,2.1823217955871286
global,97,10.575521104600694,0.5858585858585859,58,9900
13,98,0.10253284408588602,97.41414141414141,9644,9900,2.0971589306957457
36,98,0.14062713934917642,96.31313131313132,9535,9900,2.190086688237671
58,98,0.13905749269206114,96.5050505050505,9554,9900,2.0536038982596585
71,98,0.2873416236675147,92.47474747474747,9155,9900,2.163931832345146
global,98,10.48733237218375,0.5555555555555556,55,9900
13,99,0.2672007532794066,93.16161616161615,9223,9900,2.0922203739423932
36,99,0.13911267430192292,96.35353535353536,9539,9900,2.213853833495234
58,99,0.19176896616666003,95.22222222222221,9427,9900,2.0146207451592897
71,99,0.31785490710325914,91.7979797979798,9088,9900,2.161180911970383
global,99,10.152949172511246,0.7777777777777778,77,9900
13,100,0.2274255649248759,94.37373737373737,9343,9900,2.0927267278530906
36,100,0.28759351440150327,93.48484848484848,9255,9900,2.156867008111518
58,100,0.15853987366864175,95.92929292929293,9497,9900,2.085471683453547
71,100,0.07118071671311904,98.1919191919192,9721,9900,2.1811132655967365
global,100,9.91140715319701,0.7676767676767676,76,9900
13,101,0.12763375117622242,96.73737373737373,9577,9900,2.12752831338226
36,101,0.04407708653070108,98.67676767676767,9769,9900,2.1911593755423406
58,101,0.22943059332443005,94.46464646464646,9352,9900,2.0440649880605655
71,101,0.26954506114275767,93.14141414141413,9221,9900,2.15304814216734
global,101,10.024187440197878,0.7070707070707071,70,9900
