model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.43020892990960014,89.43434343434343,8854,9900,2.293402401730544
36,71,0.7252154624823368,84.0909090909091,8325,9900,2.2505561353237575
58,71,0.4227038599746396,89.83838383838383,8894,9900,2.177654890996226
71,71,0.5915095429468636,86.03030303030303,8517,9900,2.303825501701737
global,71,10.14792792117957,0.23232323232323235,23,9900
13,72,0.1926531981067224,95.1919191919192,9424,9900,2.211849065166712
36,72,0.3606243397852387,91.15151515151516,9024,9900,2.233497287178997
58,72,0.32992669847276473,91.75757575757576,9084,9900,2.1516680478959067
71,72,0.3550026597639527,91.22222222222223,9031,9900,2.3004207101915455
global,72,9.904887387054135,0.21212121212121215,21,9900
13,73,0.2466883186619691,94.11111111111111,9317,9900,2.118707428000928
36,73,0.13038413321129,96.66666666666667,9570,9900,2.1962445544206286
58,73,0.2831128964520464,92.74747474747474,9182,9900,2.1420681954292746
71,73,0.4037469349485455,90.28282828282829,8938,9900,2.2103266327043585
global,73,9.460969241363834,0.3434343434343434,34,9900
13,74,0.10780119918512576,97.32323232323232,9635,9900,2.1287592005908844
36,74,0.07527296949441385,98.03030303030303,9705,9900,2.204648512421872
58,74,0.37327249016424624,90.94949494949495,9004,9900,2.097597828198901
71,74,0.10536925487897612,97.25252525252526,9628,9900,2.2659191072238607
global,74,9.55902250039457,0.35353535353535354,35,9900
13,75,0.29872959835360746,92.25252525252526,9133,9900,2.107157353866255
36,75,0.1951592117969436,94.96969696969697,9402,9900,2.1544948566452393
58,75,0.07541504633246046,97.83838383838383,9686,9900,2.026145507452662
71,75,0.1462785987209792,96.1010101010101,9514,9900,2.2405427755381315
global,75,9.672206430146188,0.31313131313131315,31,9900
