model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.434498655723803,89.31313131313131,8842,9900,2.2941255267253897
36,71,0.7247747990579316,84.01010101010101,8317,9900,2.2491409993223552
58,71,0.43137329202709773,89.63636363636364,8874,9900,2.1772082595634883
71,71,0.6005565436199458,85.98989898989899,8513,9900,2.3034280730258887
global,71,9.574517510924677,0.7272727272727273,72,9900
13,72,0.20362881065619112,94.82828282828282,9388,9900,2.1723121916580324
36,72,0.4824809250205454,88.04040404040404,8716,9900,2.21562070859593
58,72,0.17536549226804213,95.53535353535354,9458,9900,2.218537871200243
71,72,0.2419036005482529,93.39393939393939,9246,9900,2.3418006419707504
global,72,9.333243300312697,0.7979797979797979,79,9900
