model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.44870407904037324,89.03030303030303,8814,9900,2.294175410514415
36,71,0.706008906508937,84.47474747474747,8363,9900,2.251233504519271
58,71,0.4188968893012615,89.92929292929293,8903,9900,2.17737229420567
71,71,0.5974386120805837,86.0,8514,9900,2.304369060693903
global,71,10.207740407616201,0.26262626262626265,26,9900
13,72,0.20371940236501018,95.0,9405,9900,2.208858631444039
36,72,0.3562509887868708,91.44444444444444,9053,9900,2.234225074699889
58,72,0.3165709835832769,91.96969696969697,9105,9900,2.1564769901823184
71,72,0.2958409376698311,92.58585858585859,9166,9900,2.3024117306037337
global,72,10.186276907872672,0.30303030303030304,30,9900
13,73,0.2243976394937496,94.51515151515152,9357,9900,2.1247380039043864
36,73,0.12982637085396834,96.69696969696969,9573,9900,2.2003849386354717
58,73,0.20389278644263142,94.84848484848484,9390,9900,2.1452146459212877
71,73,0.31758816092905373,92.16161616161617,9124,9900,2.2116712020026443
global,73,10.059170137655855,0.35353535353535354,35,9900
13,74,0.11033941470011316,97.2929292929293,9632,9900,2.153304036396821
36,74,0.08063050025791833,97.86868686868686,9689,9900,2.2157274531900506
58,74,0.34771025445726184,91.53535353535354,9062,9900,2.084514003619698
71,74,0.09833726415655228,97.35353535353536,9638,9900,2.267663078458161
global,74,9.849330512152777,0.48484848484848486,48,9900
13,75,0.33297405006909614,91.39393939393939,9048,9900,2.143253911842328
36,75,0.17211976678684504,95.64646464646465,9469,9900,2.1471823615283467
58,75,0.06069169886033944,98.23232323232324,9725,9900,2.059716513858681
71,75,0.1637816640704569,95.83838383838383,9488,9900,2.2443792284354966
global,75,9.776387520221748,0.47474747474747475,47,9900
13,76,0.27413515717092185,93.27272727272728,9234,9900,2.1318300101197374
36,76,0.21809307584858903,94.48484848484848,9354,9900,2.2096032743676943
58,76,0.1878974101278517,95.1010101010101,9415,9900,2.0115682304885025
71,76,0.17938754209364302,95.26262626262626,9431,9900,2.227314069289923
global,76,10.25085907907197,0.30303030303030304,30,9900
13,77,0.3421449044497326,91.72727272727272,9081,9900,2.1874610897418316
36,77,0.11013382839434074,97.18181818181819,9621,9900,2.1977974616775207
58,77,0.045503613882218345,98.82828282828284,9784,9900,2.0979906096271015
71,77,0.13176695877855474,96.4040404040404,9544,9900,2.269875584020224
global,77,10.160557303380484,0.33333333333333337,33,9900
13,78,0.1647083515049231,95.75757575757575,9480,9900,2.1251517970900453
36,78,0.13071527560852994,96.47474747474747,9551,9900,2.190147868176658
58,78,0.20948914098017143,94.51515151515152,9357,9900,2.0439025028737703
71,78,0.14723765300680894,96.01010101010101,9505,9900,2.206209120763441
global,78,10.353696495595605,0.33333333333333337,33,9900
13,79,0.29348924882484206,92.5959595959596,9167,9900,2.1036830258149175
36,79,0.13181594251984297,96.48484848484848,9552,9900,2.236012958823443
58,79,0.14324165164144953,96.24242424242424,9528,9900,2.0695489591054668
71,79,0.0892516169192815,97.62626262626263,9665,9900,2.2917202567568085
global,79,10.416862330581203,0.3232323232323232,32,9900
13,80,0.36400817105264377,91.17171717171718,9026,9900,2.131642562197042
36,80,0.04575977442353362,98.85858585858585,9787,9900,2.228866830310757
58,80,0.48089601343328303,87.90909090909092,8703,9900,2.0144729278934417
71,80,0.26668076263533697,93.26262626262626,9233,9900,2.21893438728221
global,80,10.10045211637863,0.393939393939394,39,9900
13,81,0.17923894530293918,95.36363636363636,9441,9900,2.1581494354888586
36,81,0.10851098813191809,97.26262626262626,9629,9900,2.2351038884333416
58,81,0.0803938228734816,97.7878787878788,9681,9900,2.1166194139547794
71,81,0.1849450283580356,95.15151515151516,9420,9900,2.198823124210149
global,81,10.00361512155244,0.35353535353535354,35,9900
13,82,0.09582673560564565,97.6161616161616,9664,9900,2.1058180595340183
36,82,0.15025441486426075,96.42424242424242,9546,9900,2.2036540160586586
58,82,0.16176319365850603,95.87878787878788,9492,9900,2.084690364103161
71,82,0.138091054379639,96.33333333333334,9537,9900,2.2788886821855643
global,82,9.94714810766355,0.5252525252525253,52,9900
13,83,0.2439907597110729,94.38383838383838,9344,9900,2.0951730247916753
36,83,0.16039476386826448,95.82828282828282,9487,9900,2.2073923541356293
58,83,0.2828876191678673,92.55555555555556,9163,9900,2.057709303044573
71,83,0.22952742082904085,94.22222222222221,9328,9900,2.248822115833284
global,83,10.01121947933929,0.37373737373737376,37,9900
13,84,0.3758088617613821,91.51515151515152,9060,9900,2.055716137441655
36,84,0.29470056874583467,92.96969696969697,9204,9900,2.2051827851048214
58,84,0.14986252997258698,96.02020202020202,9506,9900,2.022485929046459
71,84,0.22277066452334626,94.32323232323232,9338,9900,2.2693274401548247
global,84,10.275746990165326,0.3232323232323232,32,9900
13,85,0.19230342763842959,95.32323232323232,9437,9900,2.076306343209805
36,85,0.3248587509357568,92.37373737373737,9145,9900,2.14374098261502
58,85,0.22275211549768545,93.86868686868686,9293,9900,2.077896679260106
71,85,0.1255307972611803,96.68686868686869,9572,9900,2.2472861135375335
global,85,10.275667169744318,0.33333333333333337,33,9900
13,86,0.32669509141132086,92.03030303030303,9111,9900,2.1077037831314813
36,86,0.26948573311169943,93.28282828282828,9235,9900,2.225710093310472
58,86,0.19586343682173527,95.21212121212122,9426,9900,2.044174742819436
71,86,0.13779258824358082,96.28282828282828,9532,9900,2.2397329472683447
global,86,10.236600089025016,0.36363636363636365,36,9900
13,87,0.2030372590007204,94.8989898989899,9395,9900,2.070582073583079
36,87,0.24010817037688362,94.02020202020202,9308,9900,2.1996962467653227
58,87,0.15601558096782125,95.81818181818181,9486,9900,2.0728079097978207
71,87,0.12022759309922806,96.7878787878788,9582,9900,2.223798890543998
global,87,10.185028843735203,0.41414141414141414,41,9900
13,88,0.13281609154108798,96.54545454545455,9558,9900,2.1026471256847037
36,88,0.18514621071141177,95.05050505050505,9410,9900,2.263014137483501
58,88,0.14341539653864774,96.22222222222221,9526,9900,2.0892473457176233
71,88,0.14633099049329756,96.0909090909091,9513,9900,2.1601320786184384
global,88,10.05877591836332,0.5555555555555556,55,9900
13,89,0.20790350012104922,94.98989898989899,9404,9900,2.079647796962654
36,89,0.24983384862090602,94.01010101010101,9307,9900,2.225725090092274
58,89,0.15976017812135243,95.93939393939394,9498,9900,2.0316051466120877
71,89,0.27528882212109035,93.14141414141413,9221,9900,2.1197261440888626
global,89,10.074079244594381,0.5050505050505051,50,9900
13,90,0.19549513230420124,95.34343434343434,9439,9900,2.0641896811495797
36,90,0.09985021214593541,97.42424242424242,9645,9900,2.2268212954383264
58,90,0.20232845645360273,94.92929292929293,9398,9900,2.0095026049875884
71,90,0.23618468946880763,93.68686868686868,9275,9900,2.1525275122537972
global,90,9.830950816761364,0.5858585858585859,58,9900
13,91,0.2194253917535146,94.46464646464646,9352,9900,2.0747900569370845
36,91,0.1447911362214522,96.38383838383838,9542,9900,2.1984348017846136
58,91,0.10248984686654024,97.46464646464646,9649,9900,2.064927724169173
