model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.43675591926382046,89.35353535353535,8846,9900,2.2944222153866356
36,71,0.7292698137687914,83.92929292929293,8309,9900,2.2518723432835968
58,71,0.4137440133335614,90.05050505050505,8915,9900,2.177645037405212
71,71,0.6207932736175229,85.55555555555556,8470,9900,2.303243825013357
global,71,9.829990739918719,0.6060606060606061,60,9900
13,72,0.2111242437121844,94.43434343434343,9349,9900,2.158616577867158
36,72,0.41116538635408034,89.8080808080808,8891,9900,2.2055475429685103
58,72,0.2072434760524769,94.71717171717172,9377,9900,2.2060751135135046
71,72,0.19360077997650763,94.73737373737374,9379,9900,2.352961634098203
global,72,9.341487580886994,0.7676767676767676,76,9900
13,73,0.18729275645631732,94.96969696969697,9402,9900,2.117146734429378
36,73,0.07662074121035109,97.83838383838383,9686,9900,2.195846655538007
58,73,0.1919949136960386,94.72727272727272,9378,9900,2.0876255705750255
71,73,0.15319965255982948,95.76767676767676,9481,9900,2.258793917863891
global,73,9.411104582198943,0.6161616161616161,61,9900
13,74,0.5802585458755494,86.8888888888889,8602,9900,2.1155483756001408
36,74,0.10264665448755929,97.26262626262626,9629,9900,2.1474640461550942
58,74,0.1370083102312955,96.37373737373738,9541,9900,2.0863952134542614
71,74,0.27571092629673505,92.7070707070707,9178,9900,2.2651345610068674
global,74,9.400429511792732,0.5858585858585859,58,9900
13,75,0.13225928976981327,96.56565656565657,9560,9900,2.130331531745739
36,75,0.13844000800390435,96.5050505050505,9554,9900,2.1466445377149124
58,75,0.21390933390819666,94.51515151515152,9357,9900,2.0876977472811253
71,75,0.22197082267867194,94.25252525252526,9331,9900,2.288854491902296
global,75,9.556919703628077,0.4646464646464647,46,9900
13,76,0.28538482364982065,93.0909090909091,9216,9900,2.1570954807532137
36,76,0.19651628412381567,94.95959595959596,9401,9900,2.1708125527742435
58,76,0.1788713178550354,95.16161616161615,9421,9900,2.065433035051956
71,76,0.12086839499497655,96.82828282828282,9586,9900,2.291741791852049
global,76,9.378254644220526,0.7575757575757576,75,9900
13,77,0.20605191514949606,95.11111111111111,9416,9900,2.1160124160604243
36,77,0.19483087896698653,95.21212121212122,9426,9900,2.139385114908337
58,77,0.16316425238895899,95.85858585858585,9490,9900,2.088342202064495
71,77,0.16762272226690042,95.63636363636364,9468,9900,2.229464704132783
global,77,9.813983425564237,0.6161616161616161,61,9900
13,78,0.25438729086307565,93.51515151515152,9258,9900,2.1144269562826215
