local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,71,1,0.007011624053120613,88.27021494370521,4312,4885
36,71,71,1,0.006266502197831869,89.29311969839773,4737,5305
58,71,71,1,0.00663912994787097,88.57324570701716,4178,4717
71,71,71,1,0.007440928835421801,87.8997236478484,4453,5066
89,141,71,1,0.006752446759492159,88.08539944903582,3837,4356
89,142,71,2,0.007658110000193119,85.03213957759412,3704,4356
99,141,71,1,0.006019474472850561,88.24188129899217,3940,4465
99,142,71,2,0.004412306938320398,91.28779395296752,4076,4465
77,141,71,1,0.006763634271919727,87.30363675489563,4057,4647
77,142,71,2,0.005550183821469545,89.45556272864214,4157,4647
65,141,71,1,0.006107832305133343,87.95252225519287,4446,5055
65,142,71,2,0.005160261411219835,89.75272007912957,4537,5055
67,141,71,1,0.0069567435421049595,86.68881939014855,4435,5116
67,142,71,2,0.006611552555114031,86.55199374511336,4428,5116
61,141,71,1,0.0063093798235058784,87.93019873969948,3628,4126
61,142,71,2,0.004613562487065792,91.22636936500243,3764,4126
30,141,71,1,0.005819510668516159,88.79608294930875,3083,3472
30,142,71,2,0.00414861086755991,92.68433179723502,3218,3472
1,141,71,1,0.005913649220019579,88.90894504612916,4433,4986
1,142,71,2,0.005416681990027428,89.10950661853188,4443,4986
69,141,71,1,0.006163497921079397,88.31298280588089,3544,4013
69,142,71,2,0.004365670494735241,91.8764016944929,3687,4013
81,141,71,1,0.006456755101680756,87.3538328280641,4034,4618
81,142,71,2,0.00611170893535018,87.93850151580772,4061,4618
12,141,71,1,0.006929550785571337,87.09423568758608,4427,5083
12,142,71,2,0.0063917310908436775,87.2319496360417,4434,5083
17,141,71,1,0.006541471462696791,88.07359787186877,3973,4511
17,142,71,2,0.005372927058488131,89.89137663489248,4055,4511
52,141,71,1,0.006447844207286835,87.64814327100342,3328,3797
52,142,71,2,0.0054578413255512714,89.20200158019489,3387,3797
15,141,71,1,0.005536319222301245,89.5378000716589,4998,5582
15,142,71,2,0.004712500609457493,90.84557506270154,5071,5582
86,141,71,1,0.006658995524048805,87.25110619469027,3155,3616
86,142,71,2,0.005477709695696831,89.10398230088495,3222,3616
40,141,71,1,0.005845692940056324,88.67094408799267,4837,5455
40,142,71,2,0.005573781207203865,88.85426214482126,4847,5455
