model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.44395106864698003,89.15151515151514,8826,9900,2.2954123894007696
36,71,0.7455149224791864,83.5959595959596,8276,9900,2.2509439395683737
58,71,0.42473723233348193,89.86868686868686,8897,9900,2.178045495222782
71,71,0.6010237588786116,85.88888888888889,8503,9900,2.30302622776112
global,71,10.229852630923492,0.2222222222222222,22,9900
13,72,0.21116995813268605,94.78787878787878,9384,9900,2.2100850001771
36,72,0.34676506028030857,91.39393939393939,9048,9900,2.236934343154648
58,72,0.33951562110823813,91.4949494949495,9058,9900,2.1564813019905738
71,72,0.32836466601400666,91.82828282828282,9091,9900,2.3000338883598563
global,72,10.458625756466027,0.1414141414141414,14,9900
13,73,0.23396141484530286,94.47474747474747,9353,9900,2.1148622701543505
36,73,0.1397850347107107,96.34343434343434,9538,9900,2.1949470188637576
58,73,0.3043448183994101,92.23232323232324,9131,9900,2.135032755759045
71,73,0.3405231502802685,91.58585858585859,9067,9900,2.219798847570549
global,73,9.77379081957268,0.2828282828282828,28,9900
13,74,0.09532498158740275,97.44444444444444,9647,9900,2.124391693112497
36,74,0.07620249480159595,98.06060606060606,9708,9900,2.2254377770245473
58,74,0.34817346779987063,91.55555555555556,9064,9900,2.088840364958984
71,74,0.1186536606453886,96.72727272727273,9576,9900,2.262764855157046
global,74,9.767828150277186,0.4242424242424243,42,9900
13,75,0.26320582688456834,93.12121212121211,9219,9900,2.1359025976068344
36,75,0.1728047926859422,95.63636363636364,9468,9900,2.1442959904826115
58,75,0.07857655234108067,97.74747474747475,9677,9900,2.0293637247245213
71,75,0.15998911039997832,95.83838383838383,9488,9900,2.234013561545714
global,75,9.452867524118135,0.6868686868686869,68,9900
13,76,0.2835718444621924,92.91919191919192,9199,9900,2.08829653499217
36,76,0.22493903833206255,94.25252525252526,9331,9900,2.1895392585574722
58,76,0.14715334967832372,96.18181818181817,9522,9900,2.0311363775312725
71,76,0.20123274622541484,94.62626262626263,9368,9900,2.218584941043502
global,76,9.401675415039062,0.8080808080808081,80,9900
13,77,0.2978786973038105,92.73737373737374,9181,9900,2.1419900593104
36,77,0.1070406600095407,97.15151515151516,9618,9900,2.201225598279623
58,77,0.029163865159275104,99.14141414141415,9815,9900,2.07825188500383
71,77,0.11294730114816415,96.7878787878788,9582,9900,2.2412381704500146
global,77,9.411007739751026,0.8888888888888888,88,9900
