model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.44353025364153315,89.14141414141415,8825,9900,2.293390446476621
36,71,0.7261962684477219,83.86868686868686,8303,9900,2.249247849101613
58,71,0.42777394636712895,89.6969696969697,8880,9900,2.1766905605217866
71,71,0.6106479928951071,85.75757575757575,8490,9900,2.3031417576919075
global,71,9.697070818043718,0.7272727272727273,72,9900
13,72,0.19869264200480297,94.85858585858585,9391,9900,2.1705270879461644
36,72,0.47825729861403954,88.24242424242425,8736,9900,2.2089467066513686
58,72,0.16658512776548212,95.83838383838383,9488,9900,2.212434187950173
71,72,0.22878437962194886,93.89898989898991,9296,9900,2.342392591947296
global,72,9.395758577597261,0.8585858585858586,85,9900
13,73,0.2277815354231632,93.94949494949495,9301,9900,2.130019038836142
36,73,0.06859788492472485,97.97979797979798,9700,9900,2.1924441458570016
58,73,0.19004271650555157,94.8989898989899,9395,9900,2.105632938359855
71,73,0.16517080898838815,95.54545454545455,9459,9900,2.262586990285863
global,73,9.153686110371291,0.898989898989899,89,9900
13,74,0.5077421871098605,88.23232323232322,8735,9900,2.139747049765743
36,74,0.08047335312447765,97.77777777777777,9680,9900,2.147848707493613
58,74,0.14721530431448812,96.0909090909091,9513,9900,2.087806350249021
71,74,0.2985487612570175,92.14141414141415,9122,9900,2.266568428135936
global,74,9.232219198207662,0.9292929292929294,92,9900
13,75,0.13018858021858967,96.63636363636363,9567,9900,2.1440132224187645
36,75,0.10998462094652532,97.17171717171718,9620,9900,2.120839365392874
58,75,0.1933761000151586,95.08080808080808,9413,9900,2.091662718729901
71,75,0.22779131318583634,94.17171717171718,9323,9900,2.286625837882784
global,75,9.104061075846355,1.0303030303030303,102,9900
13,76,0.24130880296832383,93.7979797979798,9286,9900,2.167221132882442
36,76,0.22238090194837012,94.54545454545455,9360,9900,2.136434197874614
58,76,0.17691653738720248,95.31313131313132,9436,9900,2.048915399341727
71,76,0.1500473787206592,96.16161616161617,9520,9900,2.2401473170611417
global,76,9.152033407808554,1.0808080808080809,107,9900
13,77,0.274238442784608,93.2929292929293,9236,9900,2.1167606613234904
36,77,0.16743539049769893,95.69696969696969,9474,9900,2.1855841830344516
58,77,0.2113210757874479,94.68686868686869,9374,9900,2.1072462855487455
71,77,0.21218373727316808,94.60606060606061,9366,9900,2.19244077474187
global,77,9.332138117009944,0.8282828282828283,82,9900
13,78,0.24279808951146675,94.0,9306,9900,2.106193573419447
36,78,0.2569135956330733,93.7979797979798,9286,9900,2.1891928525747018
58,78,0.3581486321940567,91.22222222222223,9031,9900,2.0578190252364275
71,78,0.1437338292478311,96.03030303030303,9507,9900,2.228374292838426
global,78,9.256590027471985,0.9191919191919192,91,9900
13,79,0.3550727560062601,90.97979797979798,9007,9900,2.1013480718760627
36,79,0.18245694533140971,95.46464646464646,9451,9900,2.1773511609299336
58,79,0.17283885550017308,95.65656565656566,9470,9900,2.066456092853513
71,79,0.2870908400506684,92.46464646464646,9154,9900,2.2203548161596953
global,79,9.091873822453046,0.8484848484848486,84,9900
13,80,0.11411315248018564,96.93939393939394,9597,9900,2.0989806471428167
36,80,0.09235595972625295,97.67676767676767,9670,9900,2.179759362789661
58,80,0.4277977547019419,89.76767676767676,8887,9900,2.0471985539391357
71,80,0.24087422852564339,93.72727272727272,9279,9900,2.255557719617452
global,80,9.093468936188053,0.9191919191919192,91,9900
13,81,0.14587032384944684,96.32323232323232,9536,9900,2.095280557569606
36,81,0.28236270356659937,92.88888888888889,9196,9900,2.1296354112531284
58,81,0.15851513964359207,95.76767676767676,9481,9900,2.035772482917325
71,81,0.24380896724233725,93.98989898989899,9305,9900,2.2494510404808787
global,81,9.34474017210681,0.6969696969696969,69,9900
13,82,0.21396702316674318,94.73737373737374,9379,9900,2.0843629073173977
36,82,0.30773517721831195,92.68686868686868,9176,9900,2.1706636192868998
58,82,0.19172684537340895,95.21212121212122,9426,9900,2.010843682935028
71,82,0.21036240087615118,94.38383838383838,9344,9900,2.2003847219292156
global,82,9.347528803661616,0.8282828282828283,82,9900
13,83,0.19620263453685877,95.33333333333334,9438,9900,2.1230340727391144
36,83,0.0774396982488006,98.0,9702,9900,2.2662941832319943
58,83,0.15743371669090156,96.04040404040404,9508,9900,2.03515343839777
71,83,0.07390657849083043,98.13131313131314,9715,9900,2.2187479583301015
global,83,9.310693433357008,0.7272727272727273,72,9900
13,84,0.234058162985426,94.24242424242424,9330,9900,2.0955654643015427
36,84,0.30920565006708856,92.82828282828282,9190,9900,2.150259126528303
58,84,0.42670321907659975,89.42424242424242,8853,9900,2.013021636081024
71,84,0.2161560132527592,94.18181818181817,9324,9900,2.2147880964334425
global,84,9.338942316228692,0.787878787878788,78,9900
13,85,0.17498472458184366,95.51515151515152,9456,9900,2.1086339708571944
36,85,0.09555694664819071,97.5050505050505,9653,9900,2.190291013847657
58,85,0.3286625285100455,91.78787878787878,9087,9900,2.032057498936877
71,85,0.32767477334147754,92.0,9108,9900,2.1751773893431916
global,85,9.197272249472261,1.0606060606060608,105,9900
13,86,0.12288543300646725,96.65656565656565,9569,9900,2.118752327076582
36,86,0.018887994270771744,99.38383838383838,9839,9900,2.213017647743102
58,86,0.13662182896727262,96.55555555555554,9559,9900,2.0536216611227274
71,86,0.11178567361500528,97.01010101010101,9604,9900,2.274326111471708
global,86,9.067746304598721,1.1818181818181819,117,9900
13,87,0.22450195717089103,94.66666666666667,9372,9900,2.1739044587338987
36,87,0.22010051833258734,94.21212121212122,9327,9900,2.1699634070761
58,87,0.16391399531051365,95.76767676767676,9481,9900,2.023230111234956
71,87,0.1363003240450464,96.47474747474747,9551,9900,2.203287429773851
global,87,7.826323769309304,4.545454545454546,450,9900
13,88,0.25571347245664305,93.86868686868686,9293,9900,2.055700248345406
36,88,0.09360724468273346,97.58585858585859,9661,9900,2.1341570853251994
58,88,0.055084946797502164,98.53535353535354,9755,9900,2.1472616411116285
71,88,0.10442559031882521,97.48484848484848,9651,9900,2.1972612847179356
global,88,8.018304538919468,3.585858585858586,355,9900
13,89,0.1842170926055523,94.94949494949495,9400,9900,2.0769359657507156
36,89,0.15758566376536784,95.9090909090909,9495,9900,2.1814346147907293
58,89,0.3019374779017285,92.3030303030303,9138,9900,1.9543436749725969
71,89,0.433013057419748,89.32323232323233,8843,9900,2.213901110617634
global,89,8.259203179869989,2.898989898989899,287,9900
13,90,0.13604352022662308,96.4949494949495,9553,9900,2.096433826773233
36,90,0.11091881886350385,97.02020202020202,9605,9900,2.1893795113349626
58,90,0.19240139012384896,94.86868686868686,9392,9900,1.976154873396486
71,90,0.24581860694018276,94.1919191919192,9325,9900,2.161519122513652
global,90,8.492514996769453,2.414141414141414,239,9900
13,91,0.323225106518678,92.4040404040404,9148,9900,2.0678633112124802
36,91,0.21855234411027696,94.11111111111111,9317,9900,2.2238611800140835
58,91,0.29733533192162565,92.04040404040404,9112,9900,2.0046229577322605
71,91,0.32847431895708795,91.93939393939394,9102,9900,2.2490242855784333
global,91,8.152458687213937,3.0606060606060606,303,9900
13,92,0.13850591347073063,96.5050505050505,9554,9900,2.1213564209551827
36,92,0.2169344121759588,94.75757575757576,9381,9900,2.1543309614540407
58,92,0.1825789004112735,95.32323232323232,9437,9900,2.0005779623349165
71,92,0.18289623854136225,95.33333333333334,9438,9900,2.240951888794002
global,92,8.355285098913944,2.404040404040404,238,9900
13,93,0.11524661690598786,97.06060606060606,9609,9900,2.1133585296998074
36,93,0.12827761334000212,96.4949494949495,9553,9900,2.1601585677895003
58,93,0.26915854769523695,93.06060606060606,9213,9900,1.9532576859226656
71,93,0.255798839023619,93.62626262626263,9269,9900,2.198414521683563
global,93,8.246609071673769,2.616161616161616,259,9900
13,94,0.16069637185395366,95.79797979797979,9484,9900,2.115974895443751
36,94,0.09768904130567203,97.36363636363636,9639,9900,2.11200171919955
58,94,0.1039244829298872,97.12121212121212,9615,9900,1.9840589256572867
71,94,0.18473700005598742,95.02020202020202,9407,9900,2.2227017309164854
global,94,7.91171910449712,3.5454545454545454,351,9900
13,95,0.24086222964103776,93.8080808080808,9287,9900,2.1031075509468384
36,95,0.321154664453834,92.25252525252526,9133,9900,2.0920213993794197
58,95,0.15532616263688212,96.17171717171718,9521,9900,2.0477232594970816
71,95,0.20146335864307904,94.66666666666667,9372,9900,2.20799885022092
global,95,7.906595452819207,3.474747474747475,344,9900
13,96,0.24630069263053664,93.8080808080808,9287,9900,2.0248097365676894
36,96,0.24039616283744272,93.89898989898991,9296,9900,2.119079645219982
58,96,0.11173195731459241,96.95959595959596,9599,9900,2.049597407561069
71,96,0.1308515141859199,96.33333333333334,9537,9900,2.189549058621122
global,96,8.036677822536893,2.898989898989899,287,9900
13,97,0.25961524761084354,93.14141414141413,9221,9900,1.9883618291628602
36,97,0.25199633745232014,93.14141414141413,9221,9900,2.165765415940412
58,97,0.19401480289420697,95.16161616161615,9421,9900,1.9937561441643732
71,97,0.20232432267882608,94.76767676767676,9382,9900,2.213009136693049
global,97,7.876203653354837,3.212121212121212,318,9900
