model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.4403634195616751,89.2121212121212,8832,9900,2.2947953339447995
36,71,0.7509142039520572,83.46464646464646,8263,9900,2.250930381847324
58,71,0.4319054962408663,89.67676767676768,8878,9900,2.176645104017647
71,71,0.6101436327924632,85.7878787878788,8493,9900,2.3036848570482165
global,71,8.950815204658893,1.3232323232323233,131,9900
13,72,0.23779122731902383,94.0909090909091,9315,9900,2.1534902630991715
36,72,0.15560685548216405,95.84848484848484,9489,9900,2.2101079779781143
58,72,0.3292839030545167,91.67676767676768,9076,9900,2.062232029008202
71,72,0.24493462556540363,94.04040404040404,9310,9900,2.195756317563911
global,72,7.685999318132497,3.2323232323232323,320,9900
13,73,0.1935063655569096,95.34343434343434,9439,9900,1.994044795708735
36,73,0.17185959187872482,95.27272727272728,9432,9900,2.0635613687169414
58,73,0.3171368336918378,92.36363636363636,9144,9900,2.012476272917014
71,73,0.2125608969216395,94.38383838383838,9344,9900,2.1806849450060914
global,73,6.537886691623264,6.8686868686868685,680,9900
13,74,0.3608648264528525,91.03030303030303,9012,9900,1.9610641256232593
36,74,0.29393963457358,92.17171717171718,9125,9900,1.969076523118666
58,74,0.16816638814680504,95.74747474747475,9479,9900,1.957646438850506
71,74,0.23277317183788376,94.12121212121211,9318,9900,2.087005227667746
global,74,5.794614505960483,10.464646464646464,1036,9900
13,75,0.4413337580362956,89.8989898989899,8900,9900,1.9109341338308135
36,75,0.24493382019225998,93.94949494949495,9301,9900,1.983323366743846
58,75,0.23507939683066473,93.57575757575758,9264,9900,1.9244278490987181
71,75,0.3324639187196288,91.74747474747474,9083,9900,2.0447196969807844
global,75,5.077233606203638,15.525252525252526,1537,9900
13,76,0.2030315329570963,94.75757575757576,9381,9900,1.9340412893532908
36,76,0.1413212039795789,96.4040404040404,9544,9900,1.9884923436912145
58,76,0.19988855365550878,95.08080808080808,9413,9900,1.7912980816837403
71,76,0.2043627349776451,94.33333333333334,9339,9900,2.0123859965571724
global,76,4.390044293644452,22.545454545454547,2232,9900
13,77,0.14785260718880278,96.28282828282828,9532,9900,1.8113892538957572
36,77,0.36267281679191976,91.26262626262627,9035,9900,1.9565061675709807
58,77,0.2768834276392002,92.74747474747474,9182,9900,1.7858103549183268
71,77,0.15090175648530324,96.12121212121212,9516,9900,1.986005518699116
global,77,3.7883631357520517,30.08080808080808,2978,9900
13,78,0.15574352270424968,96.03030303030303,9507,9900,1.8186964466298743
36,78,0.2026035408479999,94.88888888888889,9394,9900,1.8058191359730114
58,78,0.18520593452634235,95.4949494949495,9454,9900,1.7382235742494514
71,78,0.16794385875716353,95.69696969696969,9474,9900,1.9256297084771832
global,78,3.362747363466205,35.838383838383834,3548,9900
13,79,0.16250476641185355,95.94949494949495,9499,9900,1.7614590946183082
36,79,0.15818247063743948,95.84848484848484,9489,9900,1.848265339822164
58,79,0.17668496053628246,95.21212121212122,9426,9900,1.7439794519333849
71,79,0.15030837640015765,96.17171717171718,9521,9900,1.8590223474826604
global,79,2.9778210333621864,41.41414141414141,4100,9900
13,80,0.3084522037072615,92.63636363636364,9171,9900,1.7660400442938196
36,80,0.14754117542445058,96.2020202020202,9524,9900,1.8084724006561275
58,80,0.13854346596532396,96.34343434343434,9538,9900,1.7404873339798432
71,80,0.1416592897188784,96.48484848484848,9552,9900,1.8405437717098265
global,80,2.594258561567827,47.484848484848484,4701,9900
13,81,0.2645048091146681,93.15151515151516,9222,9900,1.7512710587449076
36,81,0.1538945112986998,96.2929292929293,9533,9900,1.8087345999462172
58,81,0.2470838835263493,93.7979797979798,9286,9900,1.7193036661496266
71,81,0.21015459895736038,94.58585858585859,9364,9900,1.8544096483902819
global,81,2.357035577947443,51.26262626262626,5075,9900
13,82,0.1663814352076463,96.01010101010101,9505,9900,1.7044489203196322
36,82,0.12901476363341013,96.84848484848484,9588,9900,1.7545475456424782
58,82,0.08374812990878568,97.70707070707071,9673,9900,1.682958071335423
71,82,0.4265352610385779,90.01010101010101,8911,9900,1.8485276987829327
global,82,2.0875871862546362,55.757575757575765,5520,9900
13,83,0.21857959611247285,94.86868686868686,9392,9900,1.6487018680560308
36,83,0.12841010009098536,96.53535353535354,9557,9900,1.714636092766709
58,83,0.3372549032442497,91.6969696969697,9078,9900,1.6240624877859222
71,83,0.14817741172632787,96.33333333333334,9537,9900,1.7681481216876773
global,83,1.863796799399636,59.86868686868687,5927,9900
13,84,0.2560515321625604,93.4040404040404,9247,9900,1.6494307576447478
36,84,0.21484615926790718,94.77777777777779,9383,9900,1.761553906766089
58,84,0.16769299519031938,96.14141414141415,9518,9900,1.6216501774722263
71,84,0.1892366240602551,95.17171717171718,9422,9900,1.805508381479987
global,84,1.6844140779129182,63.55555555555556,6292,9900
13,85,0.2451810500417093,94.0,9306,9900,1.641987044479612
36,85,0.06349356428541318,98.4040404040404,9742,9900,1.6914536114904892
58,85,0.27473786354064944,93.55555555555556,9262,9900,1.5763836308343537
71,85,0.1354826576420755,96.58585858585859,9562,9900,1.792201324649028
