model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.44158174326925564,89.20202020202021,8831,9900,2.2927566248238884
36,71,0.7355954858028527,83.77777777777777,8294,9900,2.2508279548626895
58,71,0.4144692897314977,89.93939393939394,8904,9900,2.1787652146141396
71,71,0.6014519120226003,85.94949494949495,8509,9900,2.3036356966636706
global,71,9.856186831695865,0.6868686868686869,68,9900
13,72,0.196731893775439,94.8080808080808,9386,9900,2.1581168455251003
36,72,0.43166869100898203,89.39393939393939,8850,9900,2.2072859625557366
58,72,0.19933555676479534,94.85858585858585,9391,9900,2.2105978984643655
71,72,0.18282845356247643,94.8989898989899,9395,9900,2.350160301097977
global,72,9.739154444222498,0.5555555555555556,55,9900
13,73,0.21985325138978284,94.16161616161615,9322,9900,2.115775675739867
36,73,0.09825174940806447,97.3030303030303,9633,9900,2.1972266706616423
58,73,0.18604383569173139,94.97979797979798,9403,9900,2.0883125185810796
71,73,0.19801438314746125,94.57575757575758,9363,9900,2.238584274897117
global,73,9.550267010313092,0.595959595959596,59,9900
13,74,0.6254095473433986,85.83838383838383,8498,9900,2.1166270735434316
36,74,0.11866125323593316,96.87878787878788,9591,9900,2.1643122449738845
58,74,0.17632336805565188,95.3030303030303,9435,9900,2.081963228470808
71,74,0.2849367226976337,92.78787878787878,9186,9900,2.260710021875657
global,74,9.745825586800624,0.5050505050505051,50,9900
13,75,0.16244353805527542,95.8989898989899,9494,9900,2.136616873535385
36,75,0.10489112816073677,97.21212121212122,9624,9900,2.156671676315472
58,75,0.16356985905555763,95.69696969696969,9474,9900,2.094441200150401
71,75,0.22371972798097015,94.23232323232324,9329,9900,2.2884449825662014
global,75,9.86432829269255,0.4646464646464647,46,9900
13,76,0.27984073323432845,93.1010101010101,9217,9900,2.1619989906259276
36,76,0.23020672382730425,94.25252525252526,9331,9900,2.185287992060966
58,76,0.17294025483155492,95.45454545454545,9450,9900,2.042479826735346
71,76,0.1689203485214349,95.60606060606061,9465,9900,2.2837430317255123
global,76,9.715903104531645,0.595959595959596,59,9900
13,77,0.21025925506245005,94.8080808080808,9386,9900,2.1129144431330493
36,77,0.16491467681196,95.96969696969697,9501,9900,2.148158495733154
58,77,0.15653834159326072,95.95959595959596,9500,9900,2.0905471901319763
71,77,0.19615436556363347,95.13131313131314,9418,9900,2.227793570716458
global,77,10.046878400089765,0.3838383838383838,38,9900
13,78,0.217275119080688,94.60606060606061,9366,9900,2.10403217855294
36,78,0.2172949552295184,94.71717171717172,9377,9900,2.1777030634660446
58,78,0.3289563255117397,91.78787878787878,9087,9900,2.043903902657745
71,78,0.11585008491470355,96.95959595959596,9599,9900,2.265942781458255
global,78,10.340378541272097,0.5050505050505051,50,9900
13,79,0.2956874414887091,92.43434343434343,9151,9900,2.09588650685904
36,79,0.18444085729242576,95.34343434343434,9439,9900,2.1868214235941137
58,79,0.1868961439650468,95.39393939393939,9444,9900,2.0478157036679265
71,79,0.2878932291329509,92.60606060606061,9168,9900,2.25799031860871
global,79,10.262569478352864,0.4444444444444444,44,9900
13,80,0.1073024131402825,97.12121212121212,9615,9900,2.1285105486252895
36,80,0.09130631837880973,97.66666666666667,9669,9900,2.1808780167165716
58,80,0.37646426836649577,91.18181818181819,9027,9900,2.0078377926194504
71,80,0.28153729255753335,92.76767676767676,9184,9900,2.2805680601288536
global,80,10.581776190863716,0.4242424242424243,42,9900
13,81,0.20969286202782333,95.25252525252526,9430,9900,2.1191721267819865
36,81,0.19985173462617276,94.85858585858585,9391,9900,2.1873077308081115
58,81,0.13943576334100782,96.18181818181817,9522,9900,2.085745356136101
71,81,0.19881288292432073,94.85858585858585,9391,9900,2.3125546423152574
global,81,10.417157438644255,0.5555555555555556,55,9900
13,82,0.1439712007524389,96.2929292929293,9533,9900,2.1048617080603167
36,82,0.3356609973522148,92.07070707070707,9115,9900,2.1875035967116077
58,82,0.21347952732835154,94.55555555555556,9361,9900,2.015797807249808
71,82,0.14545211051750664,96.17171717171718,9521,9900,2.2713095022835557
global,82,10.050422021114464,0.8888888888888888,88,9900
13,83,0.16041674027238229,95.8989898989899,9494,9900,2.1530957578492096
36,83,0.042312578102103385,98.94949494949495,9796,9900,2.30632576339868
58,83,0.1553010523018211,96.08080808080808,9512,9900,2.0420481137352797
71,83,0.09071427890297139,97.60606060606061,9663,9900,2.2676437329010115
global,83,9.925182908183396,0.7575757575757576,75,9900
13,84,0.2599766361833823,93.91919191919193,9298,9900,2.140168858399299
36,84,0.16549741661307787,95.77777777777777,9482,9900,2.2065130925208263
58,84,0.42428805144146237,89.28282828282829,8839,9900,2.0612997550812087
71,84,0.26745234460541695,93.06060606060606,9213,9900,2.314525850980273
global,84,10.641180555555556,0.5252525252525253,52,9900
13,85,0.15335444457001157,95.96969696969697,9501,9900,2.2047923386896064
36,85,0.08184908848970827,97.9090909090909,9693,9900,2.281651500747171
58,85,0.2405861090650462,93.8080808080808,9287,9900,2.123066864340694
71,85,0.13919777159739022,96.22222222222221,9526,9900,2.342049452242473
global,85,10.474012525153883,0.6464646464646464,64,9900
13,86,0.13689579275972916,96.3030303030303,9534,9900,2.1606126961814307
36,86,0.0206754510091486,99.37373737373737,9838,9900,2.2931931238044396
58,86,0.0874829688623096,97.74747474747475,9677,9900,2.1620955910454365
71,86,0.10208517063446719,97.31313131313132,9634,9900,2.391544638875701
global,86,10.148915251144254,0.9393939393939393,93,9900
